Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 4.17, h(n) (heuristic cost): 14.45, f(n): 18.62
g(n) (actual cost): 4.19, h(n) (heuristic cost): 14.44, f(n): 18.63
g(n) (actual cost): 4.22, h(n) (heuristic cost): 14.42, f(n): 18.64
g(n) (actual cost): 4.24, h(n) (heuristic cost): 14.40, f(n): 18.65
g(n) (actual cost): 4.27, h(n) (heuristic cost): 14.39, f(n): 18.66
g(n) (actual cost): 4.29, h(n) (heuristic cost): 14.37, f(n): 18.66
g(n) (actual cost): 4.31, h(n) (heuristic cost): 14.36, f(n): 18.67
g(n) (actual cost): 4.34, h(n) (heuristic cost): 14.34, f(n): 18.68
g(n) (actual cost): 4.36, h(n) (heuristic cost): 14.33, f(n): 18.69
g(n) (actual cost): 4.39, h(n) (heuristic cost): 14.31, f(n): 18.70
g(n) (actual cost): 4.41, h(n) (heuristic cost): 14.29, f(n): 18.71
g(n) (actual cost): 4.44, h(n) (heuristic cost): 14.28, f(n): 18.71
g(n) (actual cost): 4.46, h(n) (heuristic cost): 14.26, f(n): 18.72
g(n) (actual cost): 4.48, h(n) (heuristic cost): 14.25, f(n): 18.73
g(n) (actual cost): 4.51, h(n) (heuristic cost): 14.23, f(n): 18.74
g(n) (actual cost): 4.55, h(n) (heuristic cost): 14.21, f(n): 18.75
g(n) (actual cost): 4.57, h(n) (heuristic cost): 14.19, f(n): 18.76
g(n) (actual cost): 4.60, h(n) (heuristic cost): 14.17, f(n): 18.77
g(n) (actual cost): 4.62, h(n) (heuristic cost): 14.16, f(n): 18.78
g(n) (actual cost): 4.64, h(n) (heuristic cost): 14.14, f(n): 18.79
g(n) (actual cost): 4.67, h(n) (heuristic cost): 14.13, f(n): 18.80
g(n) (actual cost): 4.69, h(n) (heuristic cost): 14.11, f(n): 18.80
g(n) (actual cost): 4.72, h(n) (heuristic cost): 14.10, f(n): 18.81
g(n) (actual cost): 4.74, h(n) (heuristic cost): 14.08, f(n): 18.82
g(n) (actual cost): 4.76, h(n) (heuristic cost): 14.07, f(n): 18.83
g(n) (actual cost): 4.79, h(n) (heuristic cost): 14.05, f(n): 18.84
g(n) (actual cost): 4.82, h(n) (heuristic cost): 14.03, f(n): 18.85
g(n) (actual cost): 4.85, h(n) (heuristic cost): 14.01, f(n): 18.86
g(n) (actual cost): 4.87, h(n) (heuristic cost): 14.00, f(n): 18.87
g(n) (actual cost): 4.90, h(n) (heuristic cost): 13.98, f(n): 18.88
g(n) (actual cost): 4.92, h(n) (heuristic cost): 13.97, f(n): 18.89
g(n) (actual cost): 4.95, h(n) (heuristic cost): 13.95, f(n): 18.90
g(n) (actual cost): 4.97, h(n) (heuristic cost): 13.93, f(n): 18.91
g(n) (actual cost): 5.00, h(n) (heuristic cost): 13.92, f(n): 18.92
g(n) (actual cost): 5.02, h(n) (heuristic cost): 13.90, f(n): 18.92
g(n) (actual cost): 5.05, h(n) (heuristic cost): 13.89, f(n): 18.93
g(n) (actual cost): 5.07, h(n) (heuristic cost): 13.87, f(n): 18.94
g(n) (actual cost): 5.10, h(n) (heuristic cost): 13.86, f(n): 18.95
g(n) (actual cost): 5.13, h(n) (heuristic cost): 13.84, f(n): 18.96
g(n) (actual cost): 5.15, h(n) (heuristic cost): 13.82, f(n): 18.97
g(n) (actual cost): 5.18, h(n) (heuristic cost): 13.81, f(n): 18.98
g(n) (actual cost): 5.20, h(n) (heuristic cost): 13.79, f(n): 18.99
g(n) (actual cost): 5.22, h(n) (heuristic cost): 13.78, f(n): 19.00
g(n) (actual cost): 5.25, h(n) (heuristic cost): 13.76, f(n): 19.01
g(n) (actual cost): 5.27, h(n) (heuristic cost): 13.75, f(n): 19.02
g(n) (actual cost): 5.30, h(n) (heuristic cost): 13.73, f(n): 19.03
g(n) (actual cost): 5.32, h(n) (heuristic cost): 13.72, f(n): 19.04
g(n) (actual cost): 5.35, h(n) (heuristic cost): 13.70, f(n): 19.05
g(n) (actual cost): 5.37, h(n) (heuristic cost): 13.69, f(n): 19.06
g(n) (actual cost): 5.39, h(n) (heuristic cost): 13.67, f(n): 19.07
g(n) (actual cost): 5.42, h(n) (heuristic cost): 13.66, f(n): 19.07
g(n) (actual cost): 5.44, h(n) (heuristic cost): 13.64, f(n): 19.08
g(n) (actual cost): 5.46, h(n) (heuristic cost): 13.63, f(n): 19.09
g(n) (actual cost): 5.49, h(n) (heuristic cost): 13.61, f(n): 19.10
g(n) (actual cost): 5.51, h(n) (heuristic cost): 13.60, f(n): 19.11
g(n) (actual cost): 5.54, h(n) (heuristic cost): 13.58, f(n): 19.12
g(n) (actual cost): 5.56, h(n) (heuristic cost): 13.57, f(n): 19.13
g(n) (actual cost): 5.59, h(n) (heuristic cost): 13.55, f(n): 19.14
g(n) (actual cost): 5.61, h(n) (heuristic cost): 13.54, f(n): 19.15
g(n) (actual cost): 5.64, h(n) (heuristic cost): 13.52, f(n): 19.16
g(n) (actual cost): 5.67, h(n) (heuristic cost): 13.50, f(n): 19.18
g(n) (actual cost): 5.70, h(n) (heuristic cost): 13.49, f(n): 19.19
g(n) (actual cost): 5.73, h(n) (heuristic cost): 13.47, f(n): 19.20
g(n) (actual cost): 5.76, h(n) (heuristic cost): 13.45, f(n): 19.21
g(n) (actual cost): 5.79, h(n) (heuristic cost): 13.44, f(n): 19.22
g(n) (actual cost): 5.81, h(n) (heuristic cost): 13.42, f(n): 19.23
g(n) (actual cost): 5.83, h(n) (heuristic cost): 13.41, f(n): 19.24
g(n) (actual cost): 5.86, h(n) (heuristic cost): 13.39, f(n): 19.25
g(n) (actual cost): 5.88, h(n) (heuristic cost): 13.38, f(n): 19.26
g(n) (actual cost): 5.90, h(n) (heuristic cost): 13.37, f(n): 19.27
g(n) (actual cost): 5.93, h(n) (heuristic cost): 13.35, f(n): 19.28
g(n) (actual cost): 5.97, h(n) (heuristic cost): 13.33, f(n): 19.30
g(n) (actual cost): 5.99, h(n) (heuristic cost): 13.32, f(n): 19.31
g(n) (actual cost): 6.02, h(n) (heuristic cost): 13.30, f(n): 19.32
g(n) (actual cost): 6.04, h(n) (heuristic cost): 13.29, f(n): 19.33
g(n) (actual cost): 6.06, h(n) (heuristic cost): 13.27, f(n): 19.34
g(n) (actual cost): 6.09, h(n) (heuristic cost): 13.26, f(n): 19.35
g(n) (actual cost): 6.11, h(n) (heuristic cost): 13.25, f(n): 19.36
g(n) (actual cost): 6.14, h(n) (heuristic cost): 13.23, f(n): 19.37
g(n) (actual cost): 6.16, h(n) (heuristic cost): 13.22, f(n): 19.38
g(n) (actual cost): 6.19, h(n) (heuristic cost): 13.20, f(n): 19.39
g(n) (actual cost): 6.21, h(n) (heuristic cost): 13.19, f(n): 19.40
g(n) (actual cost): 6.24, h(n) (heuristic cost): 13.17, f(n): 19.41
g(n) (actual cost): 6.26, h(n) (heuristic cost): 13.16, f(n): 19.42
g(n) (actual cost): 6.28, h(n) (heuristic cost): 13.15, f(n): 19.43
g(n) (actual cost): 6.30, h(n) (heuristic cost): 13.14, f(n): 19.44
g(n) (actual cost): 6.33, h(n) (heuristic cost): 13.12, f(n): 19.45
g(n) (actual cost): 6.35, h(n) (heuristic cost): 13.11, f(n): 19.46
g(n) (actual cost): 6.37, h(n) (heuristic cost): 13.09, f(n): 19.47
g(n) (actual cost): 6.40, h(n) (heuristic cost): 13.08, f(n): 19.48
g(n) (actual cost): 6.42, h(n) (heuristic cost): 13.07, f(n): 19.49
g(n) (actual cost): 6.45, h(n) (heuristic cost): 13.05, f(n): 19.50
g(n) (actual cost): 6.48, h(n) (heuristic cost): 13.03, f(n): 19.51
g(n) (actual cost): 6.50, h(n) (heuristic cost): 13.02, f(n): 19.52
g(n) (actual cost): 6.53, h(n) (heuristic cost): 13.00, f(n): 19.53
g(n) (actual cost): 6.55, h(n) (heuristic cost): 12.98, f(n): 19.54
g(n) (actual cost): 6.58, h(n) (heuristic cost): 12.97, f(n): 19.55
g(n) (actual cost): 6.60, h(n) (heuristic cost): 12.95, f(n): 19.56
g(n) (actual cost): 6.63, h(n) (heuristic cost): 12.94, f(n): 19.56
g(n) (actual cost): 6.65, h(n) (heuristic cost): 12.92, f(n): 19.57
g(n) (actual cost): 6.67, h(n) (heuristic cost): 12.91, f(n): 19.58
g(n) (actual cost): 6.70, h(n) (heuristic cost): 12.89, f(n): 19.59
g(n) (actual cost): 6.72, h(n) (heuristic cost): 12.88, f(n): 19.60
g(n) (actual cost): 6.74, h(n) (heuristic cost): 12.86, f(n): 19.60
g(n) (actual cost): 6.76, h(n) (heuristic cost): 12.85, f(n): 19.61
g(n) (actual cost): 6.79, h(n) (heuristic cost): 12.83, f(n): 19.62
g(n) (actual cost): 6.81, h(n) (heuristic cost): 12.81, f(n): 19.62
g(n) (actual cost): 6.83, h(n) (heuristic cost): 12.80, f(n): 19.63
g(n) (actual cost): 6.85, h(n) (heuristic cost): 12.78, f(n): 19.64
g(n) (actual cost): 6.88, h(n) (heuristic cost): 12.77, f(n): 19.64
g(n) (actual cost): 6.90, h(n) (heuristic cost): 12.75, f(n): 19.65
g(n) (actual cost): 6.92, h(n) (heuristic cost): 12.73, f(n): 19.66
g(n) (actual cost): 6.94, h(n) (heuristic cost): 12.72, f(n): 19.66
g(n) (actual cost): 6.96, h(n) (heuristic cost): 12.70, f(n): 19.67
g(n) (actual cost): 6.99, h(n) (heuristic cost): 12.69, f(n): 19.67
g(n) (actual cost): 7.01, h(n) (heuristic cost): 12.67, f(n): 19.68
g(n) (actual cost): 7.03, h(n) (heuristic cost): 12.65, f(n): 19.68
g(n) (actual cost): 7.05, h(n) (heuristic cost): 12.64, f(n): 19.69
g(n) (actual cost): 7.07, h(n) (heuristic cost): 12.62, f(n): 19.69
g(n) (actual cost): 7.10, h(n) (heuristic cost): 12.60, f(n): 19.70
g(n) (actual cost): 7.12, h(n) (heuristic cost): 12.59, f(n): 19.70
g(n) (actual cost): 7.14, h(n) (heuristic cost): 12.57, f(n): 19.71
g(n) (actual cost): 7.16, h(n) (heuristic cost): 12.55, f(n): 19.71
g(n) (actual cost): 7.18, h(n) (heuristic cost): 12.54, f(n): 19.72
g(n) (actual cost): 7.20, h(n) (heuristic cost): 12.52, f(n): 19.72
g(n) (actual cost): 7.23, h(n) (heuristic cost): 12.50, f(n): 19.73
g(n) (actual cost): 7.26, h(n) (heuristic cost): 12.47, f(n): 19.73
g(n) (actual cost): 7.29, h(n) (heuristic cost): 12.45, f(n): 19.74
g(n) (actual cost): 7.31, h(n) (heuristic cost): 12.43, f(n): 19.74
g(n) (actual cost): 7.33, h(n) (heuristic cost): 12.41, f(n): 19.74
g(n) (actual cost): 7.35, h(n) (heuristic cost): 12.39, f(n): 19.75
g(n) (actual cost): 7.37, h(n) (heuristic cost): 12.38, f(n): 19.75
g(n) (actual cost): 7.40, h(n) (heuristic cost): 12.36, f(n): 19.75
g(n) (actual cost): 7.42, h(n) (heuristic cost): 12.34, f(n): 19.76
g(n) (actual cost): 7.44, h(n) (heuristic cost): 12.32, f(n): 19.76
g(n) (actual cost): 7.46, h(n) (heuristic cost): 12.31, f(n): 19.76
g(n) (actual cost): 7.48, h(n) (heuristic cost): 12.29, f(n): 19.77
g(n) (actual cost): 7.50, h(n) (heuristic cost): 12.27, f(n): 19.77
g(n) (actual cost): 7.52, h(n) (heuristic cost): 12.25, f(n): 19.77
g(n) (actual cost): 7.54, h(n) (heuristic cost): 12.23, f(n): 19.77
g(n) (actual cost): 7.57, h(n) (heuristic cost): 12.21, f(n): 19.78
g(n) (actual cost): 7.59, h(n) (heuristic cost): 12.19, f(n): 19.78
g(n) (actual cost): 7.61, h(n) (heuristic cost): 12.17, f(n): 19.78
g(n) (actual cost): 7.63, h(n) (heuristic cost): 12.15, f(n): 19.78
g(n) (actual cost): 7.65, h(n) (heuristic cost): 12.13, f(n): 19.78
g(n) (actual cost): 7.68, h(n) (heuristic cost): 12.11, f(n): 19.79
g(n) (actual cost): 7.70, h(n) (heuristic cost): 12.09, f(n): 19.79
g(n) (actual cost): 7.72, h(n) (heuristic cost): 12.07, f(n): 19.79
g(n) (actual cost): 7.74, h(n) (heuristic cost): 12.05, f(n): 19.79
g(n) (actual cost): 7.77, h(n) (heuristic cost): 12.03, f(n): 19.79
g(n) (actual cost): 7.79, h(n) (heuristic cost): 12.01, f(n): 19.80
g(n) (actual cost): 7.81, h(n) (heuristic cost): 11.99, f(n): 19.80
g(n) (actual cost): 7.83, h(n) (heuristic cost): 11.97, f(n): 19.80
g(n) (actual cost): 7.86, h(n) (heuristic cost): 11.95, f(n): 19.80
g(n) (actual cost): 7.88, h(n) (heuristic cost): 11.93, f(n): 19.80
g(n) (actual cost): 7.90, h(n) (heuristic cost): 11.91, f(n): 19.80
g(n) (actual cost): 7.92, h(n) (heuristic cost): 11.89, f(n): 19.80
g(n) (actual cost): 7.95, h(n) (heuristic cost): 11.85, f(n): 19.81
g(n) (actual cost): 7.97, h(n) (heuristic cost): 11.83, f(n): 19.81
g(n) (actual cost): 8.00, h(n) (heuristic cost): 11.81, f(n): 19.81
g(n) (actual cost): 8.02, h(n) (heuristic cost): 11.79, f(n): 19.81
g(n) (actual cost): 8.04, h(n) (heuristic cost): 11.77, f(n): 19.81
g(n) (actual cost): 8.06, h(n) (heuristic cost): 11.75, f(n): 19.81
g(n) (actual cost): 8.08, h(n) (heuristic cost): 11.73, f(n): 19.81
g(n) (actual cost): 8.10, h(n) (heuristic cost): 11.71, f(n): 19.82
g(n) (actual cost): 8.12, h(n) (heuristic cost): 11.69, f(n): 19.82
g(n) (actual cost): 8.15, h(n) (heuristic cost): 11.67, f(n): 19.82
g(n) (actual cost): 8.17, h(n) (heuristic cost): 11.65, f(n): 19.82
g(n) (actual cost): 8.19, h(n) (heuristic cost): 11.64, f(n): 19.82
g(n) (actual cost): 8.21, h(n) (heuristic cost): 11.62, f(n): 19.82
g(n) (actual cost): 8.23, h(n) (heuristic cost): 11.60, f(n): 19.83
g(n) (actual cost): 8.25, h(n) (heuristic cost): 11.58, f(n): 19.83
g(n) (actual cost): 8.27, h(n) (heuristic cost): 11.56, f(n): 19.83
g(n) (actual cost): 8.30, h(n) (heuristic cost): 11.54, f(n): 19.83
g(n) (actual cost): 8.32, h(n) (heuristic cost): 11.52, f(n): 19.84
g(n) (actual cost): 8.35, h(n) (heuristic cost): 11.49, f(n): 19.84
g(n) (actual cost): 8.37, h(n) (heuristic cost): 11.47, f(n): 19.84
g(n) (actual cost): 8.40, h(n) (heuristic cost): 11.45, f(n): 19.85
g(n) (actual cost): 8.42, h(n) (heuristic cost): 11.43, f(n): 19.85
g(n) (actual cost): 8.44, h(n) (heuristic cost): 11.41, f(n): 19.85
g(n) (actual cost): 8.46, h(n) (heuristic cost): 11.39, f(n): 19.86
g(n) (actual cost): 8.48, h(n) (heuristic cost): 11.38, f(n): 19.86
g(n) (actual cost): 8.50, h(n) (heuristic cost): 11.36, f(n): 19.86
g(n) (actual cost): 8.54, h(n) (heuristic cost): 11.34, f(n): 19.87
g(n) (actual cost): 8.56, h(n) (heuristic cost): 11.31, f(n): 19.88
g(n) (actual cost): 8.59, h(n) (heuristic cost): 11.29, f(n): 19.88
g(n) (actual cost): 8.62, h(n) (heuristic cost): 11.27, f(n): 19.89
g(n) (actual cost): 8.64, h(n) (heuristic cost): 11.25, f(n): 19.89
g(n) (actual cost): 8.66, h(n) (heuristic cost): 11.24, f(n): 19.90
g(n) (actual cost): 8.68, h(n) (heuristic cost): 11.22, f(n): 19.90
g(n) (actual cost): 8.70, h(n) (heuristic cost): 11.21, f(n): 19.91
g(n) (actual cost): 8.72, h(n) (heuristic cost): 11.19, f(n): 19.91
g(n) (actual cost): 8.74, h(n) (heuristic cost): 11.18, f(n): 19.92
g(n) (actual cost): 8.76, h(n) (heuristic cost): 11.16, f(n): 19.92
g(n) (actual cost): 8.78, h(n) (heuristic cost): 11.15, f(n): 19.93
g(n) (actual cost): 8.80, h(n) (heuristic cost): 11.14, f(n): 19.93
g(n) (actual cost): 8.82, h(n) (heuristic cost): 11.12, f(n): 19.94
g(n) (actual cost): 8.84, h(n) (heuristic cost): 11.11, f(n): 19.95
g(n) (actual cost): 8.85, h(n) (heuristic cost): 11.10, f(n): 19.95
g(n) (actual cost): 8.87, h(n) (heuristic cost): 11.08, f(n): 19.96
g(n) (actual cost): 8.89, h(n) (heuristic cost): 11.07, f(n): 19.96
g(n) (actual cost): 8.92, h(n) (heuristic cost): 11.06, f(n): 19.97
g(n) (actual cost): 8.93, h(n) (heuristic cost): 11.05, f(n): 19.98
g(n) (actual cost): 8.94, h(n) (heuristic cost): 11.04, f(n): 19.98
g(n) (actual cost): 8.95, h(n) (heuristic cost): 11.03, f(n): 19.98
g(n) (actual cost): 8.95, h(n) (heuristic cost): 11.03, f(n): 19.98
g(n) (actual cost): 8.96, h(n) (heuristic cost): 11.02, f(n): 19.98
g(n) (actual cost): 8.96, h(n) (heuristic cost): 11.02, f(n): 19.98
g(n) (actual cost): 8.97, h(n) (heuristic cost): 11.02, f(n): 19.98
g(n) (actual cost): 8.97, h(n) (heuristic cost): 11.01, f(n): 19.98
g(n) (actual cost): 8.97, h(n) (heuristic cost): 11.01, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.01, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.98
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.99
g(n) (actual cost): 8.98, h(n) (heuristic cost): 11.00, f(n): 19.99
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.00, f(n): 19.99
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.00, f(n): 19.99
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 19.99
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 20.00
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 20.00
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 20.00
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 20.00
g(n) (actual cost): 8.99, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.01, f(n): 20.01
g(n) (actual cost): 9.00, h(n) (heuristic cost): 11.00, f(n): 20.01
g(n) (actual cost): 9.01, h(n) (heuristic cost): 11.00, f(n): 20.01
g(n) (actual cost): 9.01, h(n) (heuristic cost): 11.00, f(n): 20.01
g(n) (actual cost): 9.01, h(n) (heuristic cost): 11.00, f(n): 20.01
g(n) (actual cost): 9.02, h(n) (heuristic cost): 10.99, f(n): 20.01
g(n) (actual cost): 9.02, h(n) (heuristic cost): 10.99, f(n): 20.01
g(n) (actual cost): 9.03, h(n) (heuristic cost): 10.98, f(n): 20.01
g(n) (actual cost): 9.03, h(n) (heuristic cost): 10.98, f(n): 20.01
g(n) (actual cost): 9.04, h(n) (heuristic cost): 10.98, f(n): 20.01
g(n) (actual cost): 9.04, h(n) (heuristic cost): 10.97, f(n): 20.01
g(n) (actual cost): 9.05, h(n) (heuristic cost): 10.97, f(n): 20.01
g(n) (actual cost): 9.05, h(n) (heuristic cost): 10.96, f(n): 20.01
g(n) (actual cost): 9.06, h(n) (heuristic cost): 10.96, f(n): 20.01
g(n) (actual cost): 9.06, h(n) (heuristic cost): 10.95, f(n): 20.01
g(n) (actual cost): 9.07, h(n) (heuristic cost): 10.94, f(n): 20.01
g(n) (actual cost): 9.07, h(n) (heuristic cost): 10.94, f(n): 20.01
g(n) (actual cost): 9.08, h(n) (heuristic cost): 10.93, f(n): 20.01
g(n) (actual cost): 9.09, h(n) (heuristic cost): 10.93, f(n): 20.01
g(n) (actual cost): 9.09, h(n) (heuristic cost): 10.92, f(n): 20.01
g(n) (actual cost): 9.10, h(n) (heuristic cost): 10.92, f(n): 20.02
g(n) (actual cost): 9.10, h(n) (heuristic cost): 10.91, f(n): 20.02
g(n) (actual cost): 9.11, h(n) (heuristic cost): 10.90, f(n): 20.02
g(n) (actual cost): 9.12, h(n) (heuristic cost): 10.90, f(n): 20.02
g(n) (actual cost): 9.13, h(n) (heuristic cost): 10.89, f(n): 20.02
g(n) (actual cost): 9.14, h(n) (heuristic cost): 10.88, f(n): 20.02
g(n) (actual cost): 9.14, h(n) (heuristic cost): 10.88, f(n): 20.02
g(n) (actual cost): 9.15, h(n) (heuristic cost): 10.87, f(n): 20.02
g(n) (actual cost): 9.16, h(n) (heuristic cost): 10.86, f(n): 20.02
g(n) (actual cost): 9.17, h(n) (heuristic cost): 10.85, f(n): 20.02
g(n) (actual cost): 9.18, h(n) (heuristic cost): 10.84, f(n): 20.02
g(n) (actual cost): 9.19, h(n) (heuristic cost): 10.83, f(n): 20.02
g(n) (actual cost): 9.20, h(n) (heuristic cost): 10.82, f(n): 20.02
g(n) (actual cost): 9.21, h(n) (heuristic cost): 10.81, f(n): 20.02
g(n) (actual cost): 9.22, h(n) (heuristic cost): 10.80, f(n): 20.02
g(n) (actual cost): 9.23, h(n) (heuristic cost): 10.79, f(n): 20.03
g(n) (actual cost): 9.24, h(n) (heuristic cost): 10.78, f(n): 20.03
g(n) (actual cost): 9.25, h(n) (heuristic cost): 10.77, f(n): 20.03
g(n) (actual cost): 9.27, h(n) (heuristic cost): 10.76, f(n): 20.03
g(n) (actual cost): 9.28, h(n) (heuristic cost): 10.75, f(n): 20.03
g(n) (actual cost): 9.29, h(n) (heuristic cost): 10.74, f(n): 20.03
g(n) (actual cost): 9.30, h(n) (heuristic cost): 10.73, f(n): 20.03
g(n) (actual cost): 9.31, h(n) (heuristic cost): 10.72, f(n): 20.03
g(n) (actual cost): 9.32, h(n) (heuristic cost): 10.71, f(n): 20.03
g(n) (actual cost): 9.34, h(n) (heuristic cost): 10.69, f(n): 20.03
g(n) (actual cost): 9.35, h(n) (heuristic cost): 10.68, f(n): 20.04
g(n) (actual cost): 9.38, h(n) (heuristic cost): 10.66, f(n): 20.04
g(n) (actual cost): 9.40, h(n) (heuristic cost): 10.64, f(n): 20.04
g(n) (actual cost): 9.41, h(n) (heuristic cost): 10.63, f(n): 20.04
g(n) (actual cost): 9.43, h(n) (heuristic cost): 10.62, f(n): 20.04
g(n) (actual cost): 9.44, h(n) (heuristic cost): 10.60, f(n): 20.04
g(n) (actual cost): 9.46, h(n) (heuristic cost): 10.59, f(n): 20.04
g(n) (actual cost): 9.47, h(n) (heuristic cost): 10.57, f(n): 20.05
g(n) (actual cost): 9.49, h(n) (heuristic cost): 10.56, f(n): 20.05
g(n) (actual cost): 9.50, h(n) (heuristic cost): 10.55, f(n): 20.05
g(n) (actual cost): 9.52, h(n) (heuristic cost): 10.53, f(n): 20.05
g(n) (actual cost): 9.53, h(n) (heuristic cost): 10.52, f(n): 20.05
g(n) (actual cost): 9.54, h(n) (heuristic cost): 10.51, f(n): 20.05
g(n) (actual cost): 9.55, h(n) (heuristic cost): 10.51, f(n): 20.05
g(n) (actual cost): 9.57, h(n) (heuristic cost): 10.48, f(n): 20.05
g(n) (actual cost): 9.59, h(n) (heuristic cost): 10.46, f(n): 20.06
g(n) (actual cost): 9.61, h(n) (heuristic cost): 10.45, f(n): 20.06
g(n) (actual cost): 9.62, h(n) (heuristic cost): 10.43, f(n): 20.06
g(n) (actual cost): 9.64, h(n) (heuristic cost): 10.42, f(n): 20.06
g(n) (actual cost): 9.66, h(n) (heuristic cost): 10.40, f(n): 20.06
g(n) (actual cost): 9.69, h(n) (heuristic cost): 10.38, f(n): 20.06
g(n) (actual cost): 9.71, h(n) (heuristic cost): 10.35, f(n): 20.07
g(n) (actual cost): 9.74, h(n) (heuristic cost): 10.34, f(n): 20.07
g(n) (actual cost): 9.76, h(n) (heuristic cost): 10.32, f(n): 20.07
g(n) (actual cost): 9.77, h(n) (heuristic cost): 10.30, f(n): 20.07
g(n) (actual cost): 9.97, h(n) (heuristic cost): 10.13, f(n): 20.10
g(n) (actual cost): 9.99, h(n) (heuristic cost): 10.11, f(n): 20.10
g(n) (actual cost): 10.00, h(n) (heuristic cost): 10.10, f(n): 20.10
g(n) (actual cost): 10.23, h(n) (heuristic cost): 9.89, f(n): 20.12
g(n) (actual cost): 10.25, h(n) (heuristic cost): 9.87, f(n): 20.12
g(n) (actual cost): 10.26, h(n) (heuristic cost): 9.85, f(n): 20.12
g(n) (actual cost): 10.29, h(n) (heuristic cost): 9.83, f(n): 20.12
g(n) (actual cost): 10.31, h(n) (heuristic cost): 9.81, f(n): 20.12
g(n) (actual cost): 10.33, h(n) (heuristic cost): 9.79, f(n): 20.13
g(n) (actual cost): 10.36, h(n) (heuristic cost): 9.76, f(n): 20.13
g(n) (actual cost): 10.38, h(n) (heuristic cost): 9.74, f(n): 20.13
g(n) (actual cost): 10.41, h(n) (heuristic cost): 9.72, f(n): 20.13
g(n) (actual cost): 10.43, h(n) (heuristic cost): 9.69, f(n): 20.13
g(n) (actual cost): 10.46, h(n) (heuristic cost): 9.67, f(n): 20.13
g(n) (actual cost): 10.48, h(n) (heuristic cost): 9.65, f(n): 20.13
g(n) (actual cost): 10.51, h(n) (heuristic cost): 9.62, f(n): 20.13
g(n) (actual cost): 10.54, h(n) (heuristic cost): 9.60, f(n): 20.13
g(n) (actual cost): 10.56, h(n) (heuristic cost): 9.57, f(n): 20.13
g(n) (actual cost): 10.59, h(n) (heuristic cost): 9.54, f(n): 20.13
g(n) (actual cost): 10.61, h(n) (heuristic cost): 9.52, f(n): 20.13
g(n) (actual cost): 10.63, h(n) (heuristic cost): 9.50, f(n): 20.13
g(n) (actual cost): 10.66, h(n) (heuristic cost): 9.47, f(n): 20.13
g(n) (actual cost): 10.69, h(n) (heuristic cost): 9.45, f(n): 20.13
g(n) (actual cost): 10.71, h(n) (heuristic cost): 9.43, f(n): 20.13
g(n) (actual cost): 10.74, h(n) (heuristic cost): 9.40, f(n): 20.13
g(n) (actual cost): 10.76, h(n) (heuristic cost): 9.37, f(n): 20.13
g(n) (actual cost): 10.79, h(n) (heuristic cost): 9.35, f(n): 20.13
g(n) (actual cost): 10.82, h(n) (heuristic cost): 9.32, f(n): 20.13
g(n) (actual cost): 10.86, h(n) (heuristic cost): 9.28, f(n): 20.14
g(n) (actual cost): 10.89, h(n) (heuristic cost): 9.25, f(n): 20.14
g(n) (actual cost): 10.91, h(n) (heuristic cost): 9.22, f(n): 20.14
g(n) (actual cost): 10.94, h(n) (heuristic cost): 9.20, f(n): 20.14
